lang,lang_ja,AD,AL,AM,AR,AT,AZ,BA,BD,BE,BG,BO,BR,BT,BW,BY,BZ,CA,CH,CL,CN,CO,CR,CY,CZ,DE,DK,DZ,EC,EE,EG,ES,FI,FR,GB,GF,GR,GT,GY,HN,HR,HU,ID,IE,IL,IN,IS,IT,KG,KR,KZ,LI,LK,LS,LT,LU,LV,MA,MC,MD,ME,MK,MT,MX,MY,NA,NI,NL,NO,NP,PA,PE,PL,PT,PY,RO,RS,RU,SE,SI,SK,SM,SR,SV,SZ,TJ,TM,TN,TR,TT,TW,US,UY,UZ,VA,VE,VN,XK,ZA,ZW,JP,AU,NZ,SG,MM,TH,PH
pl,ポーランド語,Andora,Albania,Armenia,Argentyna,Austria,Azerbejdżan,Bośnia i Hercegowina,Bangladesz,Belgia,Bułgaria,Boliwia,Brazylia,Bhutan,Botswana,Białoruś,Belize,Kanada,Szwajcaria,Chile,Chiny,Kolumbia,Kostaryka,Cypr,Republika Czeska,Niemcy,Dania,Algieria,Ekwador,Estonia,Egipt,Hiszpania,Finlandia,Francja,Zjednoczone Królestwo,Gujana Francuska,Grecja,Gwatemala,Gujana,Honduras,Chorwacja,Węgry,Indonezja,Irlandia,Izrael,Indie,Islandia,Włochy,Kirgistan,Korea,Kazachstan,Liechtenstein,Sri Lanka,Lesotho,Litwa,Luksemburg,Łotwa,Maroko,Monako,Moldova,Czarnogóra,Macedonia,Malta,Meksyk,Malezja,Namibia,Nikaragua,Holandia,Norwegia,Nepal,Panama,Peru,Polska,Portugalia,Paragwaj,Rumunia,Serbia,Federacja Rosyjska,Szwecja,Słowenia,Słowacja,San Marino,Surinam,Salwador,Suazi,Tadżykistan,Turkmenia,Tunezja,Republika Turcji,Trynidad i Tobago,Tajwan,Stany Zjednoczone,Urugwaj,Uzbekistan,Państwo Watykańskie,Wenezuela,Viet Nam,Republika Kosowa,Afryka Południowa,Zimbabwe,Japonia,Australia,Nowa Zelandia,Singapur,Myanmar,Tajlandia,Filipiny
pt,ポルトガル語,Andorra,Albânia,Armênia,Argentina,Áustria,Azerbaijão,Bósnia e Herzegovina,Bangladesh,Bélgica,Bulgária,Bolívia,Brasil,Butão,Botswana,Bielo-Rússia,Belize,Canadá,Suíça,Chile,China,Colômbia,Costa Rica,Chipre,República Checa,Alemanha,Dinamarca,Argélia,Equador,Estônia,Egito,Espanha,Finlândia,França,Reino Unido,Guiana Francesa,Grécia,Guatemala,Guiana,Honduras,Croácia,Hungria,Indonésia,Irlanda,Israel,Índia,Islândia,Itália,Quirguistão,Coréia,Cazaquistão,Liechtenstein,Sri Lanka,Lesoto,Lituânia,Luxemburgo,Letônia,Marrocos,Mônaco,Moldova,Montenegro,Macedonia,Malta,México,Malásia,Namibia,Nicarágua,Países Baixos,Noruega,Nepal,Panamá,Peru,Polônia,Portugal,Paraguai,Romênia,Sérvia,Federação Russa,Suécia,Eslovênia,Eslováquia,San Marino,Suriname,El Salvador,Suazilândia,Tajiquistão,Turcomenistão,Tunísia,República da Turquia,Trinidad e Tobago,Taiwan,Estados Unidos,Uruguai,Uzbequistão,Estado da cidade do vaticano,Venezuela,Viet Nam,República do Kosovo,África do Sul,Zimbábue,Japão,Austrália,Nova Zelândia,Cingapura,Myanmar,Tailândia,Filipinas
ro,ルーマニア語、,Andorra,Albania,Armenia,Argentina,Austria,Azerbaidjan,Bosnia si Hertegovina,Bangladesh,Belgia,Bulgaria,Bolivia,Brazilia,Bhutan,Botswana,Bielorusia,Belize,Canada,Elveţia,Chile,China,Columbia,Costa Rica,Cipru,Republica Cehă,Germania,Danemarca,Algeria,Ecuador,Estonia,Egipt,Spania,Finlanda,Franţa,Regatul Unit,Guyana Franceză,Grecia,Guatemala,Guyana,Honduras,Croaţia,Ungaria,Indonezia,Irlanda,Israel,India,Islanda,Italia,Kârgâzstan,Coreea,Kazahstan,Liechtenstein,Sri Lanka,Lesotho,Lituania,Luxemburg,Letonia,Maroc,Monaco,Moldova,Muntenegru,Macedonia,Malta,Mexic,Malaezia,Namibia,Nicaragua,Olanda,Norvegia,Nepal,Panama,Peru,Polonia,Portugalia,Paraguay,România,Serbia,Federația Rusă,Suedia,Slovenia,Slovacia,San Marino,Surinam,El Salvador,Swaziland,Tadjikistan,Turkmenistan,Tunisia,Republica Turcă,Trinidad și Tobago,Taiwan,Statele Unite,Uruguay,Uzbekistan,Statul Vatican,Venezuela,Vietnam,Republica Kosovo,Africa de Sud,Zimbabwe,Japonia,Australia,Noua Zeelanda,Singapore,Myanmar,Tailanda,Filipine
ru,ロシア語,Андорра,Албания,Армения,Аргентина,Австрия,Азербайджан,Босния и Герцеговина,Бангладеш,Бельгия,Болгария,Боливия,Бразилия,Бутан,Ботсвана,Беларусь,Белиз,Канада,Швейцария,Чили,Китай,Колумбия,Коста-Рика,Кипр,Республика Чехия,Германия,Дания,Алжир,Эквадор,Эстония,Египет,Испания,Финляндия,Франция,Соединенное Королевство,Французская Гвиана,Греция,Гватемала,Гайана,Гондурас,Хорватия,Венгрия,Индонезия,Ирландия,Израиль,Индия,Исландия,Италия,Кыргызстан,Корея,Казахстан,Лихтенштейн,Шри-Ланка,Лесото,Литва,Люксембург,Латвия,Марокко,Монако,Молдова,Черногория,Македония,Мальта,Мексика,Малайзия,Намибия,Никарагуа,Нидерланды,Норвегия,Непал,Панама,Перу,Польша,Португалия,Парагвай,Румыния,Сербия,Российская Федерация,Швеция,Словения,Словакия,Сан-Марино,Суринам,Сальвадор,Свазиленд,Таджикистан,Туркменистан,Тунис,Турецкая республика,Тринидад и Тобаго,Тайвань,Соединенные Штаты,Уругвай,Узбекистан,Ватикан-город-государство,Венесуэла,Вьетнам,Республика Косово,Южная Африка,Зимбабве,Япония,Австралия,Новая Зеландия,Сингапур,Мьянма,Таиланд,Филиппины
sr,セルビア語,Андора,Албанија,Јерменија,Аргентина,Аустрија,Азербејџан,Босна и Херцеговина,Бангладеш,Белгија,Бугарска,Боливија,Бразил,Бутан,Боцвана,Белорусија,Белизе,Канада,Швајцарска,Чиле,Кина,Колумбија,Костарика,Кипар,Чешка,Немачка,Данска,Алжир,Еквадор,Естонија,Египат,Шпанија,Финска,Француска,Велика Британија,Француска Гвајана,Грчка,Гватемала,Гвајана,Хондурас,Хрватска,Мађарска,Индонезија,Ирска,Израел,Индија,Исланд,Италија,Киргистан,Кореја,Казахстан,Лихтенштајн,Шри Ланка,Лесото,Литванија,Луксембург,Летонија,Мароко,Монако,Молдавија,Црна Гора,Македонија,Малта,Мексико,Малезија,Намибија,Никарагва,Низоземска,Норвешка,Непал,Панама,Перу,Пољска,Португал,Парагвај,Румунија,Србија,Руска Федерација,Шведска,Словенија,Словачка,Сан-Марино,Суринам,Ел Салвадор,Свазиленд,Таџикистана,Туркменистан,Тунис,Република Турска,Тринидад и Тобаго,Тајван,Америка,Уругвај,Узбекистан,Држава Ватикан,Венезуела,Вијетнам,Република Косово,Јужна Африка,Зимбабве,Јапан,Аустралија,Нови Зеланд,Сингапур,Мјанмар,Тајланд,Филипини
si,シンハラ語,ඇන්ඩෝරා,ඇල්බේනියාව,ආර්මේනියාව,ආර්ජන්ටිනාව,ඔස්ට්‍රියාව,අසර්බයිජානය,බොස්නියාව සහ හර්සගොවිනාව,බංග්ලාදේශය,බෙල්ජියම,බල්ගේරියාව,බොලිවියාව,බ්රසීලය,භූතානය,බොට්ස්වානා,බෙලාරුස්,බෙලීස්,කැනඩාව,ස්විට්සර්ලන්තය,චිලී,චීනය,කොලොම්බියාව,කොස්ට රිකා,සයිප්‍රසය,චෙක් ජනරජය,ජර්මනිය,ඩෙන්මාර්කය,ඇල්ජීරියාව,ඉක්වදෝරය,එස්තෝනියාව,ඊජිප්තුව,ස්පා Spain ් .ය,ෆින්ලන්තය,ප්‍රංශය,එක්සත් රාජධානිය,ප්‍රංශ ගයනාව,ග්‍රීසිය,ග්වාතමාලාව,ගයනා,හොන්ඩුරාස්,ක්‍රොඒෂියාව,හංගේරියාව,ඉන්දුනීසියාව,අයර්ලන්තය,ඊශ්රායෙල්,ඉන්දියාව,අයිස්ලන්තය,ඉතාලිය,කිර්ගිස්තානය,කොරියාව,කසකස්තානය,ලිච්ටෙන්ස්ටයින්,ශ්රී ලංකාව,ලෙසෝතෝ,ලිතුවේනියාව,ලක්සම්බර්ග්,ලැට්වියාව,මොරොක්කෝව,මොනාකෝ,මෝල්ඩෝවා,මොන්ටිනිග්‍රෝ,මැසිඩෝනියාව,මෝල්ටාව,මෙක්සිකෝව,මැලේසියාව,නැමීබියාව,නිකරගුවාව,නෙදර්ලන්තය,නෝර්වේ,නේපාලය,පැනමාව,පේරු,පෝලන්තය,පෘතුගාලය,පැරගුවේ,රුමේනියාව,සර්බියාව,රුසියානු සමූහාණ්ඩුව,ස්වීඩනය,ස්ලොවේනියාව,ස්ලොවැකියාව,සැන් මරිනෝ,සුරිනේම්,එල් සැල්වදෝරය,ස්වාසිලන්තය,ටජිකිස්තානය,ටර්ක්මෙනිස්තානය,ටියුනීසියාව,තුර්කි ජනරජය,ට්රිනිඩෑඩ් සහ ටොබැගෝ,තායිවානය,එක්සත් ජනපදය,උරුගුවේ,උස්බෙකිස්තානය,වතිකානු නගර ප්‍රාන්තය,වෙනිසියුලාව,වියට්නාමය,කොසෝවෝ ජනරජය,දකුණු අප්රිකාව,සිම්බාබ්වේ,ජපානය,ඕස්ට්‍රේලියාව,නිව්සීලන්තය,සිංගප්පූරුව,මියන්මාරය,තායිලන්තය,පිලිපීනය
sk,スロバキア語,Andorra,Albánsko,Arménsko,Argentína,Rakúsko,Azerbajdžan,Bosna a Hercegovina,Bangladéš,Belgicko,Bulharsko,Bolívia,Brazília,Bhután,Botswana,Bielorusko,Belize,Kanada,Švajčiarsko,Čile,Čína,Kolumbia,Kostarika,Cyprus,Česká republika,Nemecko,Dánsko,Alžírsko,Ekvádor,Estónsko,Egypt,Španielsko,Fínsko,Francúzsko,Spojene kralovstvo,Francúzska Guiana,Grécko,Guatemala,Guyana,Honduras,Chorvátsko,Maďarsko,Indonézia,Írsko,Izrael,India,Island,Taliansko,Kirgizsko,Kórea,Kazachstan,Lichtenštajnsko,Srí Lanka,Lesotho,Litva,Luxembursko,Lotyšsko,Maroko,Monako,Moldavsko,Čierna Hora,Macedónsko,Malta,Mexiko,Malajzia,Namíbia,Nikaragua,Holandsko,Nórsko,Nepál,Panama,Peru,Poľsko,Portugalsko,Paraguaj,Rumunsko,Srbsko,Ruská federácia,Švédsko,Slovinsko,Slovensko,San Maríno,Surinam,El Salvador,Svazijsko,Tadžikistan,Turkménsko,Tunisko,Turecká republika,Trinidad a Tobago,Taiwan,Spojené štáty,Uruguaj,Uzbekistan,Vatikánsky mestský štát,Venezuela,Vietnam,Kosovskej republiky,južná Afrika,Zimbabwe,Japonsko,Austrália,Nový Zéland,Singapur,Mjanmarsko,Thajsko,Filipíny
sl,スロベニア語,Andora,Albanija,Armenija,Argentina,Avstrija,Azerbajdžan,Bosna in Hercegovina,Bangladeš,Belgija,Bolgarija,Bolivija,Brazilija,Butan,Bocvana,Belorusija,Belize,Kanada,Švica,Čile,Kitajska,Kolumbija,Kostarika,Ciper,Češka,Nemčija,Danska,Alžirija,Ekvador,Estonija,Egipt,Španija,Finska,Francija,Združeno kraljestvo,Francoska Gvajana,Grčija,Gvatemala,Gvajana,Honduras,Hrvaška,Madžarska,Indonezija,Irska,Izrael,Indija,Islandija,Italija,Kirgizija,Koreja,Kazahstan,Lihtenštajn,Šrilanka,Lesoto,Litva,Luksemburg,Latvija,Maroko,Monako,Moldavija,Črna gora,Makedonija,Malta,Mehika,Malezija,Namibijo,Nikaragva,Nizozemska,Norveška,Nepal,Panama,Peru,Poljska,Portugalska,Paragvaj,Romunija,Srbija,Ruska federacija,Švedska,Slovenija,Slovaška,San Marino,Surinam,El Salvador,Svazi,Tadžikistanu,Turkmenistan,Tunizija,Republike Turčije,Trinidad in Tobago,Tajvan,Združene države,Urugvaj,Uzbekistan,Vatikanska mestna država,Venezuela,Vietnam,Republike Kosovo,Južna Afrika,Zimbabve,Japonska,Avstralija,Nova Zelandija,Singapur,Mjanmar,Tajska,Filipini
es,スペイン語,Andorra,Albania,Armenia,Argentina,Austria,Azerbaiyán,Bosnia y Herzegovina,Bangladesh,Bélgica,Bulgaria,Bolivia,Brasil,Bután,Botswana,Bielorrusia,Belice,Canadá,Suiza,Chile,porcelana,Colombia,Costa Rica,Chipre,Republica checa,Alemania,Dinamarca,Argelia,Ecuador,Estonia,Egipto,España,Finlandia,Francia,Reino Unido,Guayana Francesa,Grecia,Guatemala,Guayana,Honduras,Croacia,Hungría,Indonesia,Irlanda,Israel,India,Islandia,Italia,Kirguistán,Corea,Kazajstán,Liechtenstein,Sri Lanka,Lesoto,Lituania,Luxemburgo,Letonia,Marruecos,Mónaco,Moldavia,Montenegro,macedonia,Malta,México,Malasia,Namibia,Nicaragua,Países Bajos,Noruega,Nepal,Panamá,Perú,Polonia,Portugal,Paraguay,Rumania,Serbia,Federación Rusa,Suecia,Eslovenia,Eslovaquia,San Marino,Surinam,El Salvador,Swazilandia,Tayikistán,Turkmenistán,Túnez,Republica de Turquía,Trinidad y Tobago,Taiwán,Estados Unidos,Uruguay,Uzbekistan,Estado de la Ciudad del Vaticano,Venezuela,Vietnam,República de Kosovo,Sudáfrica,Zimbabue,Japón,Australia,Nueva Zelanda,Singapur,Myanmar,Tailandia,Filipinas
sv,スウェーデン語,Andorra,Albanien,Armenien,Argentina,Österrike,Azerbajdzjan,Bosnien och Hercegovina,Bangladesh,Belgien,Bulgarien,Bolivia,Brasilien,Bhutan,Botswana,Vitryssland,Belize,Kanada,Schweiz,Chile,Kina,Colombia,Costa Rica,Cypern,Tjeckien,Tyskland,Danmark,Algeriet,Ecuador,Estland,Egypten,Spanien,Finland,Frankrike,Storbritannien,Franska Guyana,Grekland,Guatemala,Guyana,Honduras,Kroatien,Ungern,Indonesien,Irland,Israel,Indien,Island,Italien,Kirgizistan,Korea,Kazakstan,Liechtenstein,Sri Lanka,Lesotho,Litauen,Luxemburg,Lettland,Marocko,Monaco,Moldavien,Montenegro,Makedonien,Malta,Mexiko,Malaysia,Namibia,Nicaragua,Nederländerna,Norge,Nepal,Panama,Peru,Polen,Portugal,Paraguay,Rumänien,Serbien,Ryska Federationen,Sverige,Slovenien,Slovakien,San Marino,Surinam,El Salvador,Swaziland,Tadzjikistan,Turkmenistan,Tunisien,republiken Turkiet,Trinidad och Tobago,Taiwan,Förenta staterna,Uruguay,Uzbekistan,Vatikanstaten,Venezuela,Vietnam,Republiken Kosovo,Sydafrika,Zimbabwe,Japan,Australien,Nya Zeeland,Singapore,Myanmar,Thailand,Filippinerna
ta,タミル語,அன்டோரா,அல்பேனியா,ஆர்மீனியா,அர்ஜென்டினா,ஆஸ்திரியா,அஜர்பைஜான்,போஸ்னியா மற்றும் ஹெர்சகோவினா,பங்களாதேஷ்,பெல்ஜியம்,பல்கேரியா,பொலிவியா,பிரேசில்,பூட்டான்,போட்ஸ்வானா,பெலாரஸ்,பெலிஸ்,கனடா,சுவிட்சர்லாந்து,சிலி,சீனா,கொலம்பியா,கோஸ்ட்டா ரிக்கா,சைப்ரஸ்,செ குடியரசு,ஜெர்மனி,டென்மார்க்,அல்ஜீரியா,ஈக்வடார்,எஸ்டோனியா,எகிப்து,ஸ்பெயின்,பின்லாந்து,பிரான்ஸ்,ஐக்கிய இராச்சியம்,பிரஞ்சு கயானா,கிரீஸ்,குவாத்தமாலா,கயானா,ஹோண்டுராஸ்,குரோஷியா,ஹங்கேரி,இந்தோனேசியா,அயர்லாந்து,இஸ்ரேல்,இந்தியா,ஐஸ்லாந்து,இத்தாலி,கிர்கிஸ்தான்,கொரியா,கஜகஸ்தான்,லிச்சென்ஸ்டீன்,இலங்கை,லெசோதோ,லிதுவேனியா,லக்சம்பர்க்,லாட்வியா,மொராக்கோ,மொனாக்கோ,மால்டோவா,மாண்டினீக்ரோ,மாசிடோனியா,மால்டா,மெக்சிகோ,மலேசியா,நமீபியா,நிகரகுவா,நெதர்லாந்து,நோர்வே,நேபாளம்,பனாமா,பெரு,போலந்து,போர்ச்சுகல்,பராகுவே,ருமேனியா,செர்பியா,இரஷ்ய கூட்டமைப்பு,சுவீடன்,ஸ்லோவேனியா,ஸ்லோவாக்கியா,சான் மரினோ,சுரினேம்,எல் சல்வடோர்,ஸ்வாசிலாந்து,தஜிகிஸ்தான்,துர்க்மெனிஸ்தான்,துனிசியா,துருக்கி குடியரசு,டிரினிடாட் மற்றும் டொபாகோ,தைவான்,அமெரிக்கா,உருகுவே,உஸ்பெகிஸ்தான்,வத்திக்கான் நகர மாநிலம்,வெனிசுலா,வியட்நாம்,கொசோவோ குடியரசு,தென்னாப்பிரிக்கா,ஜிம்பாப்வே,ஜப்பான்,ஆஸ்திரேலியா,நியூசிலாந்து,சிங்கப்பூர்,மியான்மர்,தாய்லாந்து,பிலிப்பைன்ஸ்
tr,トルコ語,Andorra,Arnavutluk,Ermenistan,Arjantin,Avusturya,Azerbaycan,Bosna Hersek,Bangladeş,Belçika,Bulgaristan,Bolivya,Brezilya,Butan,Botsvana,Belarus,Belize,Kanada,İsviçre,Şili,Çin,Kolombiya,Kosta Rika,Kıbrıs,Çek Cumhuriyeti,Almanya,Danimarka,Cezayir,Ekvador,Estonya,Mısır,ispanya,Finlandiya,Fransa,Birleşik Krallık,Fransız Guyanası,Yunanistan,Guatemala,Guyana,Honduras,Hırvatistan,Macaristan,Endonezya,İrlanda,İsrail,Hindistan,İzlanda,İtalya,Kırgızistan,Kore,Kazakistan,Lihtenştayn,Sri Lanka,Lesoto,Litvanya,Lüksemburg,Letonya,Fas,Monako,Moldova,Karadağ,Makedonya,Malta,Meksika,Malezya,Namibya,Nikaragua,Hollanda,Norveç,Nepal,Panama,Peru,Polonya,Portekiz,Paraguay,Romanya,Sırbistan,Rusya Federasyonu,İsveç,Slovenya,Slovakya,San Marino,Surinam,El Salvador,Svaziland,Tacikistan,Türkmenistan,Tunus,Türkiye Cumhuriyeti,Trinidad ve Tobago,Tayvan,Amerika Birleşik Devletleri,Uruguay,Özbekistan,Vatikan Şehir Devleti,Venezuela,Vietnam,Kosova Cumhuriyeti,Güney Afrika,Zimbabve,Japonya,Avustralya,Yeni Zelanda,Singapur,Myanmar,Tayland,Filipinler
vi,ベトナム語,Andorra,Albania,Armenia,Argentina,Áo,Azerbaijan,Bosnia và Herzegovina,Bangladesh,nước Bỉ,Bungari,Bolivia,Brazil,Bhutan,Botswana,Belarus,Belize,Canada,Thụy sĩ,Chile,Trung Quốc,Colombia,Costa Rica,Síp,Cộng hòa Séc,nước Đức,Đan mạch,Algeria,Ecuador,Estonia,Ai cập,Tây ban nha,Phần Lan,Nước pháp,Vương quốc Anh,Guiana thuộc Pháp,Hy Lạp,Guatemala,Guyana,Honduras,Croatia,Hungary,Indonesia,Ireland,Người israel,Ấn Độ,Nước Iceland,Nước Ý,Kyrgyzstan,Hàn Quốc,Kazakhstan,Liechtenstein,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Maroc,Monaco,Moldova,Montenegro,Macedonia,Malta,Mexico,Malaysia,Namibia,Nicaragua,nước Hà Lan,Na Uy,Nepal,Panama,Peru,Ba lan,Bồ Đào Nha,Paraguay,Romania,Xéc-bi-a,Liên bang Nga,Thụy Điển,Slovenia,Xlô-va-ki-a,San Marino,Suriname,El Salvador,Swaziland,Tajikistan,Turkmenistan,Tunisia,Cộng hòa Thổ Nhĩ Kỳ,Trinidad và Tobago,Đài loan,Hoa Kỳ,Uruguay,U-dơ-bê-ki-xtan,Thành phố Vatican,Venezuela,Việt Nam,Cộng hòa Kosovo,Nam Phi,Zimbabwe,Nhật Bản,Châu Úc,New Zealand,Singapore,Myanmar,nước Thái Lan,Phi-líp-pin
th,タイ語,อันดอร์รา,แอลเบเนีย,อาร์เมเนีย,อาร์เจนตินา,ออสเตรีย,อาเซอร์ไบจาน,บอสเนียและเฮอร์เซโก,บังกลาเทศ,เบลเยี่ยม,บัลแกเรีย,โบลิเวีย,บราซิล,ภูฏาน,บอตสวานา,เบลารุส,เบลีซ,แคนาดา,สวิตเซอร์แลนด์,ชิลี,ประเทศจีน,โคลอมเบีย,คอสตาริกา,ไซปรัส,สาธารณรัฐเช็ก,เยอรมนี,เดนมาร์ก,แอลจีเรีย,เอกวาดอร์,เอสโตเนีย,อียิปต์,สเปน,ฟินแลนด์,ฝรั่งเศส,ประเทศอังกฤษ,เฟรนช์เกีย,กรีซ,กัวเตมาลา,กายอานา,ฮอนดูรัส,โครเอเชีย,ฮังการี,อินโดนีเซีย,ไอร์แลนด์,อิสราเอล,อินเดีย,ไอซ์แลนด์,อิตาลี,คีร์กีซสถาน,เกาหลี,คาซัคสถาน,ลิกเตนสไตน์,ศรีลังกา,เลโซโท,ลิทัวเนีย,ลักเซมเบิร์ก,ลัตเวีย,โมร็อกโก,โมนาโก,มอลโดวา,มอนเตเนโกร,มาซิโดเนีย,มอลตา,เม็กซิโก,มาเลเซีย,นามิเบีย,นิการากัว,เนเธอร์แลนด์,นอร์เวย์,เนปาล,ปานามา,เปรู,โปแลนด์,โปรตุเกส,ประเทศปารากวัย,โรมาเนีย,เซอร์เบีย,สหพันธรัฐรัสเซีย,สวีเดน,สโลวีเนีย,สโลวาเกีย,ซานมาริโน,ซูรินาเม,เอลซัลวาดอร์,สวาซิแลนด์,ทาจิกิสถาน,เติร์กเมนิสถาน,ตูนิเซีย,สาธารณรัฐตุรกี,ตรินิแดดและโตเบโก,ไต้หวัน,สหรัฐ,อุรุกวัย,อุซเบกิสถาน,นครรัฐวาติกัน,เวเนซุเอลา,เวียดนาม,สาธารณรัฐโคโซโว,แอฟริกาใต้,ซิมบับเว,ญี่ปุ่น,ออสเตรเลีย,นิวซีแลนด์,สิงคโปร์,พม่า,ประเทศไทย,ฟิลิปปินส์
